dataset,refined_question,relevant_column,results,ground_truth,task,difficulty
2023 Netflix Engagement Dataset,Is there a strong relationship between the total hours watched for each title over a six-month period and the count of ratings received by the title?,"[{""column_header"": ""Hours Viewed"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Number of Ratings"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.00321}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.00381}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.00263}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Hours Viewed"", ""Number of Ratings""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Obesity or CVD Risk Dataset,"Do the observed frequency of food consumption between meals (CAEC) correspond to the variations in NObeyesdad categories, including underweight (less than 18.5), normal (18.5 to 24.9), overweight (25.0 to 29.9), obesity I (30.0 to 34.9), obesity II (35.0 to 39.9), and obesity III (higher than 40)?","[{""column_header"": ""CAEC"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""NObeyesdad"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""CAEC"", ""NObeyesdad""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Pokedex Dataset,How does Sp_Def influence Speed when accounting for Sp_Atk?,"[{""column_header"": ""Sp_Def"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Speed"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sp_Atk"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.01936, \""p value\"": 0.60411}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Sp_Def"", ""Speed"", ""Sp_Atk""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Heart Failure Prediction Dataset,"How similar are the distributions of age and oldpeak, measured in depression, in the patient population?","[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Oldpeak"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Age"", ""Oldpeak""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Income and Happiness Score Dataset,Does the statistical analysis suggest that the data for the median income follows a Gamma distribution?,"[{""column_header"": ""median_income"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Gamma distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""median_income""], ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]}",Distribution Compliance Test,easy
Los Angeles Library Monthly Statistics,Is there a statistical variance between the total circulation of electronic media materials and the overall count of computer usage sessions (including wireless and PC sessions)?,"[{""column_header"": ""Total eMedia Circulation"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Total Computer Usage (Wireless + PC Sessions)"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 3.5257, \""p value\"": 0.00042}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 25.23691, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 26.59662, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 23.23628, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Total eMedia Circulation"", ""Total Computer Usage (Wireless + PC Sessions)""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
Customer Personality Analysis Dataset,How much skewness is present in the distribution of the amount spent on fish products in the last 2 years?,"[{""column_header"": ""MntFishProducts"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Skewness"", ""result"": ""1.91977"", ""conclusion"": ""1.91977""}]","{""columns"": [""MntFishProducts""], ""methods"": [""Skewness""]}",Descriptive Statistics,easy
Customer Personality Analysis Dataset,"What is the partial correlation between the number of store purchases (NumStorePurchases) and the number of children in a customer's household (Kidhome), taking into account the amount spent on gold products in the last 2 years (MntGoldProds)?","[{""column_header"": ""NumStorePurchases"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Kidhome"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MntGoldProds"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.42293, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""NumStorePurchases"", ""Kidhome"", ""MntGoldProds""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Obesity or CVD Risk Dataset,Is the daily water consumption data consistent with an Exponential distribution?,"[{""column_header"": ""CH2O"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Exponential distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","{""columns"": [""CH2O""], ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]}",Distribution Compliance Test,easy
Bank Customer Churn Prediction Dataset,Are the data distributions of the bank account balance and estimated salary statistically indistinguishable?,"[{""column_header"": ""Balance"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""EstimatedSalary"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Balance"", ""EstimatedSalary""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Terrorist Attacks Dataset,"When the variable ""Hijacking"" is held constant, what is the correlation between ""Hostage Taking (Barricade Incident)"" and ""Facility/Infrastructure Attack"" as methods of attack?","[{""column_header"": ""Attack method: Hostage Taking (Barricade Incident)"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Facility/Infrastructure Attack"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Hijacking"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.47619, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Attack method: Hostage Taking (Barricade Incident)"", ""Attack method: Facility/Infrastructure Attack"", ""Attack method: Hijacking""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Dataset for Admission in the University,Is there a relationship between the variations in GRE scores and CGPA?,"[{""column_header"": ""GRE Score"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CGPA"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.83306}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.83185}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.65901}"", ""conclusion"": ""Strongly correlated""}]","{""columns"": [""GRE Score"", ""CGPA""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Customer Personality Analysis Dataset,How is the relationship between the amount spent on fish products in the last 2 years (MntFishProducts) and the cost of contact (Z_CostContact) influenced by the number of teenagers in the customer's household (Teenhome)?,"[{""column_header"": ""MntFishProducts"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Z_CostContact"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Teenhome"", ""is_strata"": false, ""is_control"": true}]","[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.20421, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""MntFishProducts"", ""Z_CostContact"", ""Teenhome""], ""methods"": [""Partial Correlation Coefficient""]}",Correlation Analysis,easy
Stroke Prediction Dataset,Do the observed frequencies of heart disease and work type conform to the assumption of independence?,"[{""column_header"": ""heart_disease"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""work_type"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""heart_disease"", ""work_type""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Dataset for Admission in the University,Do the distributions of GRE scores and TOEFL scores exhibit a close alignment?,"[{""column_header"": ""GRE Score"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""TOEFL Score"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""GRE Score"", ""TOEFL Score""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Income and Happiness Score Dataset,Do the average income and overall happiness score exhibit equal variance?,"[{""column_header"": ""avg_income"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""happyScore"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 86.81442, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""avg_income"", ""happyScore""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Stroke Prediction Dataset,Is there a clear relationship between the categorizations of hypertension and marital status?,"[{""column_header"": ""hypertension"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""ever_married"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""hypertension"", ""ever_married""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Real Estate Valuation Dataset,Does a linear relationship exist between the age of the house (X2) and the unit area price of the house (Y)?,"[{""column_header"": ""X2 house age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Y house price of unit area"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.21057}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.28175}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.18827}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""X2 house age"", ""Y house price of unit area""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Pokedex Dataset,Are the differences in height and catch rate statistically significant?,"[{""column_header"": ""Height_m"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Catch_Rate"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.01023, \""p value\"": 0.99184}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 745.95018, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Height_m"", ""Catch_Rate""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Student Performance Prediction Dataset,What is the most common occurrence for the provision of extra educational support (schoolsup)?,"[{""column_header"": ""schoolsup"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mode"", ""result"": ""no"", ""conclusion"": ""no""}]","{""columns"": [""schoolsup""], ""methods"": [""Mode""]}",Descriptive Statistics,easy
